Cod. Municipio|Departamento|Municipio|Población municipio|Subregión PDET|ZOMAC|Valor agregado municipio|% Act. primarias municipio|% Act. secundarias municipio|% Act. terciarias municipio|% pobl. con educación media municipio|% pobl. con edu. técnica/tecnología municipio|% pobl. con pregrado municipio|% pobl. con posgrado municipio|% pobreza municipio|% informalidad municipio|% mujeres municipio|% jóvenes municipio|% pobl. con discapacidad municipio|% grupos étnicos municipio|% pobl. campesina municipio|% pobl. LGBT municipio
05001|Antioquia|Medellín|2572350||0|66432,2777490969|0,1786034999550964|20,05998149416723|79,76141500587765|26,54120632458385|10,33911808222296|11,82672731028145|3,469121075061227|12,8|71,0|52,9108014072735|24,48480960988979|6,272441017902231|2,594917233268559|1,903483582533779|1,744766985148145
05002|Antioquia|Abejorral|21109||1|314,197628997883|45,43460708487591|6,372656379328001|48,192736535796094|12,80186374225808|2,460367066310586|1,727370873345076|0,846639013580317|40,6|87,5|47,79004216211094|20,50784025770998|16,04636627081084|0,3636570259673845||
05004|Antioquia|Abriaquí|2804||1|38,47549423361333|37,042104552086535|6,451562815689472|56,506332632224|21,39879573876795|4,955998147290412|2,686428902269569|1,065308012968967|34,8|87,6|45,79172610556348|22,039942938659056|16,72070402964335|2,037980546549329||
05021|Antioquia|Alejandría|4874||1|67,95433267145859|18,02396865644213|6,893188858008846|75,08284248554905|14,63922896587653|5,574368325084658|2,917426413128419|0,7293566032821047|31,9|87,1|50,38982355354945|20,106688551497744|8,101067986454806|0,3125814014066163||
05030|Antioquia|Amagá|31851||0|635,9258575599101|6,83748509092413|46,19753716082666|46,96497774824921|22,82539800902278|5,965474814511017|2,952910033182953|0,704671712464114|22,9|69,5|50,91519889485416|23,25515682396157|9,022780656947914|0,5182506245106446||
05031|Antioquia|Amalfi|27398|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1|973,8570672787598|8,105084778205281|6,024189644874389|85,87072557692035|15,99802615346657|4,372070071551937|2,368615840118431|0,6760424377004688|43,3|86,4|50,04379881743193|24,99817504927367|8,092770787071306|0,5181347150259068||
05034|Antioquia|Andes|45394||0|710,8239676702198|24,458569609918776|20,55658606190334|54,98484432817789|17,64104446308725|3,408137583892618|3,355704697986577|0,7157088926174496|40,1|87,2|48,13852050931841|23,205710005727628|10,76709312080537|1,247902684563758||
05036|Antioquia|Angelópolis|6010||0|72,23109499596185|18,076881720268677|6,598847168214612|75,32427111151671|16,49094887606923|5,629600159140641|1,611298985478417|0,3580664412174259|30,7|74,0|49,56738768718802|22,129783693843592|23,13507061865924|0,5967774020290432||
05038|Antioquia|Angostura|11909||1|144,79375957027247|18,148930166335056|14,739235735752809|67,11183409791217|14,95238095238095|2,514285714285714|1,333333333333333|0,3047619047619048|53,8|87,0|49,48358384415148|24,133008648920985|16,70476190476191|0,5428571428571428||
05040|Antioquia|Anorí|19349|BAJO CAUCA Y NORDESTE ANTIOQUEÑO|1|226,23338893918307|28,302983335419583|4,907733050823982|66,78928361375642|15,59095297200386|2,82719624879327|1,468762929251138|0,4482140394428354|53,3|89,1|47,433975916068015|26,49232518476407|10,7847193490553|2,834091849400083||
05042|Antioquia|Santafé de Antioquia|27596||1|380,3281582981036|12,695389166618185|5,939013286462661|81,36559754691915|20,17143349414197|6,848725017229497|3,536354238456237|0,8743969676085458|29,7|81,9|50,49644876068996|23,71358167850413|6,982253618194349|3,415747760165403||
05044|Antioquia|Anzá|7341||0|132,2472984413206|49,99992976947717|6,647817589196456|43,35225264132637|13,49405134627426|2,254226675015654|1,314965560425798|0,3757044458359424|47,1|87,1|48,38577850429097|23,280207056259368|11,23982467125861|0,3757044458359424||
05045|Antioquia|Apartadó|129245|URABÁ ANTIOQUEÑO|1|2957,141157768837|31,431329420300514|8,609988829167198|59,95868175053229|24,9759846301633|8,333553657827247|4,792498391631195|1,119248429086358|28,0|74,6|51,34589345816087|27,183256605671403|6,903207043333421|38,51800932413258||
05051|Antioquia|Arboletes|31470||0|319,4114186273835|19,43398400387298|6,37419234421838|74,19182365190868|18,2357640077599|4,549431321084865|2,487732511696907|0,5173266385180114|59,1|90,7|50,12392755004767|22,91706387035272|8,741298642017574|30,70105367263875||
